Feature,Importance
Bacteria20_g,0.1862701771308592
Bacteria11_g,0.1353419817564575
Bacteria21_g,0.13309477096244166
Bacteria15_g,0.12313660397469463
Bacteria1_g,0.05993087880874382
Bacteria18_g,0.057929220151908864
Bacteria2_g,0.05604673849281119
Bacteria3_g,0.05198469395023205
Bacteria14_g,0.03528824888557369
Bacteria4_g,0.03490232769960458
Bacteria12_g,0.03416093595061182
Bacteria6_g,0.02715633598247174
Bacteria13_g,0.023059786885374103
Bacteria8_g,0.01197173927389456
Bacteria7_g,0.010828054588786792
Bacteria10_g,0.005846783311174087
Bacteria19_g,0.004772683435656975
Bacteria17_g,0.004065185072759667
Bacteria9_g,0.0034846268933565985
Bacteria5_g,0.0006607693796349297
Bacteria16_g,6.745741295162766e-05
